"shop,""aisle"",""reference_id"",""reference_name"",""last_control"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""3560070777822"",""MDD KID MOUS F.F.FRUIT X6"",""2020-07-24 09:09:41.008+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3270190216216"",""150G PATE CAMPAGNE MDDBIO"",""2020-08-06 06:32:08.654+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560070717545"",""180G PATE DE CAMP. BRETON"",""2020-08-06 06:32:15.781+00"""
"Magasin Exercice,""36.1 Dessert enfant, yaourt à boire, crème dessert et 1/2 liégeois"",""3033491432750"",""DANETTE NOIX COCO 4X125G"",""2020-07-24 09:11:00.26+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3268750007107"",""LARDONS FUMES 300G"",""2020-08-06 06:36:16.546+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3302749743024"",""X2+1G DE4 TR FIN JB DEGUS"",""2020-08-06 06:36:48.333+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3180940084302"",""MAD MOUSSE CND PORTO QE"",""2020-08-06 06:37:13.453+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""8031301883377"",""PULCO CUISINE JAUNE 125ML"",""2020-07-24 06:20:44.094+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3375220000244"",""DIOT SAVOIE PUR PORC X4"",""2020-08-06 06:34:00.04+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3154230040286"",""HERTA BACON SUP.15TR"",""2020-08-06 06:35:56.116+00"""
"Magasin Exercice,""Tartinable, Truite & Saumon fumé"",""3302746583029"",""FMT BAT.MOELLX.F.PACK672G"",""2020-07-24 06:39:03.224+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3700133914638"",""2X75G LARDS FUM BIO"",""2020-08-06 06:36:22.046+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3529351442507"",""ADER CHORIZO PLIS 250G"",""2020-08-06 06:36:59.481+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560071095765"",""PT SCISSES FUM COMTE SNAC"",""2020-08-06 06:33:45.933+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3375220000114"",""DIOT SAVOIE FUME X4"",""2020-08-06 06:33:53.14+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560071033217"",""PPB CERVELAS CHX P.P 400G"",""2020-08-06 06:34:09.903+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""7613036976411"",""KNACKI GRILLEE CNSVSNIT 4"",""2020-08-06 06:34:22.849+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""3560070543663"",""MDD SAUCISSES VOLAILLE X6"",""2020-08-06 06:34:31.024+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""7613035927490"",""HERTA DES DE BACON 200G"",""2020-08-06 06:34:42.251+00"""
"Magasin Exercice,""32.3 Pâté rillettes à lardons"",""8008410434110"",""ROTOLINO BRESAOLA / MOZZA"",""2020-08-06 06:36:53.783+00"""
"Magasin Exercice,""dessert viennois"",""3560070884759"",""MDD MOUSSE CHOC NR 2X90G"",""2020-07-24 09:18:04.313+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3560070447343"",""SCISSON NOISET 30TR"",""2020-07-24 09:28:41.483+00"""
"Magasin Exercice,""dessert viennois"",""3560070846757"",""MDD.S CROUSTI CHOCO 2X80G"",""2020-07-24 09:21:24.743+00"""
"Magasin Exercice,""36.2 Allégé et saveur aux fruits"",""3560070802210"",""MDD YRT FRUIT 0% 16X125G"",""2020-07-24 09:25:50.211+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3245390021304"",""300G SAUC SECHE RDF"",""2020-07-24 09:33:01.904+00"""
"Magasin Exercice,""36.2 Allégé et saveur aux fruits"",""3608580781882"",""BM YRT CONF.FRAISE X4"",""2020-07-24 09:30:24.415+00"""
"Magasin Exercice,""32.2 Jambon cru & saucisson"",""3449865297687"",""J.BRID FUET MAXI 230G"",""2020-07-24 09:37:51.483+00"""
"Magasin Exercice,""bio expérience"",""3253331400057"",""TAPENAD VERT BIO 100G"",""2020-07-24 10:05:53.619+00"""
"Magasin Exercice,""36.2 Allégé et saveur aux fruits"",""3329770063754"",""PANIER STD FRT ROU"",""2020-07-24 09:31:49.5+00"""
"Magasin Exercice,""bio expérience"",""3440432018049"",""OEUFS DE TRUITE BIO SDC 8"",""2020-07-24 10:00:27.835+00"""
"Magasin Exercice,""bio expérience"",""3253331400019"",""TOMAT PESTO BIO CRUS 100G"",""2020-07-24 10:07:11.741+00"""
"Magasin Exercice,""bio expérience"",""3253331400040"",""TAPENAD NOIR BIO CRU 100G"",""2020-07-24 10:08:09.359+00"""
"Magasin Exercice,""bio expérience"",""3444940003627"",""TERR. TRUITE LEG MER BIO"",""2020-07-24 10:09:04.6+00"""
"Magasin Exercice,""bio expérience"",""3760187538037"",""JAMBON SPECK BIO 70G"",""2020-07-24 10:11:21.4+00"""
"Magasin Exercice,""bio expérience"",""3576560011000"",""SOJABIO TARTINE&MOI NOIX"",""2020-07-24 10:38:07.105+00"""
"Magasin Exercice,""bio expérience"",""3266140061524"",""250G RAVIOLI TOMATE BIO"",""2020-07-24 10:17:59.724+00"""
"Magasin Exercice,""bio expérience"",""3664042001851"",""GNOCCHI FRAIS BIO 400G"",""2020-07-24 10:18:31.741+00"""
"Magasin Exercice,""bio expérience"",""3175681091795"",""CBF TOFU SOYEUX BIO 400G"",""2020-07-24 10:19:28.321+00"""
"Magasin Exercice,""bio expérience"",""3175681108943"",""250G TOFU FUME BIO"",""2020-07-24 10:19:57.321+00"""
"Magasin Exercice,""bio expérience"",""3259011034000"",""2X125G TOFU NATURE BIO"",""2020-07-24 10:20:30.226+00"""
"Magasin Exercice,""bio expérience"",""3576566903101"",""TOFU EXTRA OLIVES 2X100G"",""2020-07-24 10:22:27.844+00"""
"Magasin Exercice,""bio expérience"",""3576562001009"",""SOJAB.CUISINE MOI NATURE"",""2020-07-24 10:25:24.676+00"""
"Magasin Exercice,""bio expérience"",""3175681264410"",""190G KEFTA CORIANDRE BIO"",""2020-07-24 10:36:46.943+00"""
"Magasin Exercice,""bio expérience"",""3576560008000"",""SOJ.T.MOI POIVRE 5B.125G"",""2020-07-24 10:40:36.376+00"""
"Magasin Exercice,""bio expérience"",""3259011033737"",""GALETTE EPEAUTRE LEG BIO"",""2020-07-24 10:46:06.17+00"""
"Magasin Exercice,""bio expérience"",""3259011033768"",""200G GALETTE SARRASIN BIO"",""2020-07-24 10:45:46.172+00"""
"Magasin Exercice,""bio expérience"",""3175681236813"",""200G GALETTES ROQF BIO"",""2020-07-24 10:48:35.095+00"""
"Magasin Exercice,""bio expérience"",""3245413942814"",""MDD RAVIOLI RIC.EPIN.250G"",""2020-07-24 10:50:39.053+00"""
"Magasin Exercice,""bio expérience"",""3292070009992"",""NOS POIVRONS BIO 100G X6A"",""2020-07-24 12:47:16.191+00"""
